PopulationCapacity,SupplyVolume,Latitude,Longitude,EstablishedDate,DecommisionDate
1412,902,67.946451,-73.210151,1997/03/20,2024/08/28
1571,102,3.61499,86.800509,2006/03/04,
1621,223,-75.460959,60.82198,1990/04/24,2023/09/08
1537,791,-56.740327,-104.172759,1995/06/12,
1970,805,30.045778,-58.959951,1994/08/04,2023/05/12
491,777,32.768733,148.210753,2002/12/22,2022/05/28
1167,704,61.435238,160.461121,2006/09/24,
1363,400,77.349765,-50.9311,2017/07/02,2022/05/10
552,80,-19.455558,-56.048075,2010/07/17,2022/12/13
1782,703,-33.705646,-58.030101,2004/04/03,
1715,675,-53.20426,-76.423855,2011/06/15,2021/06/14
1365,717,-26.07221,-108.553482,1996/03/17,
1662,751,11.621293,17.407299,1992/10/18,2024/06/16
1442,297,-72.898712,94.379481,1998/05/17,2021/02/17
1301,492,40.765043,148.493208,1995/08/05,
452,526,65.3845,45.620892,1999/12/12,2023/10/29
1642,56,-28.853449,-34.335308,2014/03/11,
519,137,-64.730099,102.417062,2008/11/18,2024/12/04
1940,974,80.43879,83.671295,1991/06/17,2024/06/22
1734,663,-5.546364,-105.133966,2002/11/10,
1985,727,18.379157,75.193217,1996/08/15,2024/05/19
1622,618,-35.360064,86.863831,2013/05/11,
829,685,-11.979463,20.387909,2002/10/26,2023/05/31
1027,617,30.732236,-44.899198,2007/05/10,
1117,726,5.870902,-153.920533,1999/08/17,2023/12/15
1763,70,-69.719042,-118.502138,1992/12/09,2025/11/18
1305,602,-23.828648,-120.939737,2017/05/06,2024/09/01
1513,914,-66.89354,159.113679,2000/11/05,2021/07/22
772,844,-16.877594,103.572787,1997/03/30,2025/03/22
